position,x,y,r,index, glyph
1,0,0,0.6,0, 
2,2.5,0,0.6,0, 
3,0,2.5,0.6,0, 
4,2.5,2.5,0.6,0, 
5,0,5,0.6,0, 
6,2.5,5,0.6,0, 
